title|date|link|category|title_brand|check|why|Brand
코로나 시대에 '귀족룩'이 트렌드인 이유|2020.09.10|https://www.harpersbazaar.co.kr/article/48616|FASHION|0|0|-|Ce2
뒷광고 말고, 셀럽들의 앞광고|2020.09.03|https://www.harpersbazaar.co.kr/article/48627|CELEBRITY|0|0|-|Ce2
변덕스러운 날씨에 탁월한 서머 샌들 연출법|2020.08.12|https://www.harpersbazaar.co.kr/article/48175|FASHION|0|0|-|Ce2
연휴에 정주행하면 좋을 에디슬리먼의 #집콕영화|2020.05.07|https://www.harpersbazaar.co.kr/article/46322|FASHION|0|0|-|Ce2
이번 시즌 런웨이에서 뽑은 베스트 룩|2020.04.09|https://www.harpersbazaar.co.kr/article/45876|FASHION|0|0|-|Ce2
스타일링이 어려운 베스트, 이렇게 입어!|2020.04.08|https://www.harpersbazaar.co.kr/article/45855|FASHION|0|0|-|Ce2
영화 시상식에 참석한 배우들의 외침|2020.03.05|https://www.harpersbazaar.co.kr/article/45179|CELEBRITY|0|0|-|Ce2
2020 S/S 컬렉션의 핫스팟|2020.02.12|https://www.harpersbazaar.co.kr/article/44704|FASHION|0|0|-|Ce2
사랑과 연대의 기록|2020.02.03|https://www.harpersbazaar.co.kr/article/44515|ART&CULTURE|0|0|-|Ce2
루시아 피카의 집|2020.01.15|https://www.harpersbazaar.co.kr/article/44193|FASHION|0|0|-|Ce2
2019 F/W '이것'만 알면 끝!|2019.10.17|https://www.harpersbazaar.co.kr/article/42696|FASHION|0|0|-|Ce2
모델 이혜승의 사진집|2019.08.02|https://www.harpersbazaar.co.kr/article/40410|LIFESTYLE|0|0|-|Ce2
올 가을, 겨울 트렌드 총집합|2019.08.02|https://www.harpersbazaar.co.kr/article/40328|FASHION|0|0|-|Ce2
2019 F/W 런웨이 리포트|2019.07.24|https://www.harpersbazaar.co.kr/article/40290|FASHION|0|0|-|Ce2
톱 모델 강소영의 사적인 취향|2019.05.19|https://www.harpersbazaar.co.kr/article/40131|FASHION|0|0|-|Ce2
<바자>가 주목한 패션 트렌드 5가지|2019.05.17|https://www.harpersbazaar.co.kr/article/40126|FASHION|0|0|-|Ce2
남이 아닌 나를 위해|2019.05.16|https://www.harpersbazaar.co.kr/article/40122|FASHION|0|0|-|Ce2
세르쥬포에틱의 대표 전효진의 취향|2019.04.19|https://www.harpersbazaar.co.kr/article/40064|FASHION|0|0|-|Ce2
피비 파일로의 후예들|2019.04.02|https://www.harpersbazaar.co.kr/article/40021|FASHION|0|0|-|Ce2
흑백의 미학|2019.03.18|https://www.harpersbazaar.co.kr/article/39996|FASHION|0|0|-|Ce2
60번째 생일을 맞은 바비 이야기|2019.03.17|https://www.harpersbazaar.co.kr/article/39995|FASHION|0|0|-|Ce2
새롭게 떠오르는 이들을 주목하라!|2019.03.08|https://www.harpersbazaar.co.kr/article/39971|FASHION|0|0|-|Ce2
요즘 가장 핫한 인플루언서, 알레일리 메이|2018.12.09|https://www.harpersbazaar.co.kr/article/39769|FASHION|0|0|-|Ce2
나를 위한 코트|2018.11.16|https://www.harpersbazaar.co.kr/article/39715|FASHION|0|0|-|Ce2
리카르도 티시 VS 에디 슬리먼|2018.11.01|https://www.harpersbazaar.co.kr/article/39671|FASHION|0|0|-|Ce2
런던에서 만난 황록|2018.10.09|https://www.harpersbazaar.co.kr/article/39612|FASHION|0|0|-|Ce2
에디 슬리먼의 셀린, 그 반응은?|2018.10.01|https://www.harpersbazaar.co.kr/article/39585|FASHION|0|0|-|Ce2
슈퍼플랫에 대해여|2018.09.30|https://www.harpersbazaar.co.kr/article/39580|LIFESTYLE|0|0|-|Ce2
패피의 옷장|2018.09.30|https://www.harpersbazaar.co.kr/article/39579|FASHION|0|0|-|Ce2
빅 스니커즈|2018.09.16|https://www.harpersbazaar.co.kr/article/39540|FASHION|0|0|-|Ce2
2018 F/W 파리 패션위크에서 생긴일|2018.07.01|https://www.harpersbazaar.co.kr/article/39327|FASHION|0|0|-|Ce2
백은 이렇게 들어야 합니다.|2018.04.20|https://www.harpersbazaar.co.kr/article/39060|FASHION|0|0|-|Ce2
